Key,Type,Desc,English,Arabic,Portuguese,Spanish,,,,,,,,,,,,,,,,
ADisNotReady,Text,,AD is not ready,الإعلانไม่ جاهز,AD is not ready,Los anuncios no están listos,,,,,,,,,,,,,,,,
Answer,Text,,Answer,الإجابة,Answer,Respuesta,,,,,,,,,,,,,,,,
COMPLETE,Text,,COMPLETE,مُكمل,COMPLETE,COMPLETO,,,,,,,,,,,,,,,,
CONTINUE,Text,,CONTINUE,متابعة,CONTINUE,CONTINUAR,,,,,,,,,,,,,,,,
Claim,Text,,Claim,طالب,Claim,Reclamar,,,,,,,,,,,,,,,,
ClaimVideoTip,Text,,"You can claim the reward after
watch ads video for 4 more time",تستطيع مطالبته الجائزة بعد مشاهدة إعلان أقلها 4 مرات,Você pode claiming o prêmio após assistir a 4 vídeos de anúncio a mais.,Puedes reclamar la recompensa después de ver 4 vídeos publicitarios más.,,,,,,,,,,,,,,,,
Continue,Text,,Continue,متابعة,Continue,Continuar,,,,,,,,,,,,,,,,
ContinuePlay,Text,,Do you want to continue playing?,هل تريد متابعة اللعب؟,Deseja continuar jogando?,¿Quieres continuar jugando?,,,,,,,,,,,,,,,,
English,Text,,English,الإنجليزية,English,Inglés,,,,,,,,,,,,,,,,
FAILED,Text,,FAILED,فشل,FAILED,FALLIDO,,,,,,,,,,,,,,,,
FeedBack,Text,,Please give us your feedback with 5 stars.Thank you!,من فضلك أعطنا رأيك ب⊙ نجوم. شكرًا ل!,"Por favor, dê-nos seu feedback com 5 estrelas. Obrigado!","Por favor, déjanos tu opinión con 5 estrellas. ¡Gracias!",,,,,,,,,,,,,,,,
GetHint,Text,,Get Hint,الحصول على تلميح,Get Hint,Obtener pista,,,,,,,,,,,,,,,,
HaveSkipLevel,Text,,"You have skipped 
this level",لقد تخطيت هذا المستوى,Você pulou este nível.,"Has saltado
este nivel",,,,,,,,,,,,,,,,
Hint,Text,,Hint,تلميح,Hint,Pista,,,,,,,,,,,,,,,,
LEVEL,Text,,LEVEL,المستوى,LEVEL,NIVEL,,,,,,,,,,,,,,,,
Lang,Text,,EN,الإنجليزية,Ling,ING,,,,,,,,,,,,,,,,
Level10Tips0,Text,,"Pull the carpet, then take the mosquito racket to kill mosquitoes",اسحب السجادة، ثم أخُذ عصاة القتال الجرائد لقتل الجراد.,Puxe a moeda para o chão,"Tira la alfombra, luego toma el raquetón para mosquitos para matarlos.",,,,,,,,,,,,,,,,
Level10Tips1,Text,,"Open the bedside drawer, take the lighter to light mosquito incense", افتح عصن bên السرير، أخُذ المض炬 لإغليت كبريت الجراد.,Jogue o marido pela janela com sua amante,"Abre el cajón de la mesita de noche, toma el encendedor para encender el incienso contra mosquitos.",,,,,,,,,,,,,,,,
Level10Tips10,Text,,"When the girl's leg is no longer swollen, pull the blanket to help her sleep",عندما تزيل التumoار عن ساق الفتاة، اسحب الغطاء للمساعدة عليها النوم.,Puxe a moeda para a mesa,"Cuando la pierna de la chica ya no esté inflamada, tira la manta para ayudarla a dormir.",,,,,,,,,,,,,,,,
Level10Tips2,Text,,"Open the wardrobe, give the girl a nightgown",** افتح خزنة الملابس، أعط الفتاة فستان ليلاوي.**,Puxe a moeda para a comida,"Abre el armario, dale a la chica un camisón.",,,,,,,,,,,,,,,,
Level10Tips3,Text,,"Open the wardrobe, give the girl a blanket", افتح خزنة الملابس، أعط الفتاة غطاء.,Puxe a moeda para a cama,"Abre el armario, dale a la chica una manta.",,,,,,,,,,,,,,,,
Level10Tips4,Text,,Take the spray behind the pillow to kill mosquitoes, أخُذ الرشاط خلف الوسادة لقتل الجراد.,Puxe a moeda para a garota,Toma el aerosol detrás de la almohada para matar mosquitos.,,,,,,,,,,,,,,,,
Level10Tips5,Text,,Pull the spider web to make a curtain for the girl,اسحب شبكة العنكبوت لصنع منبرة للفتاة.,Puxe a moeda para a janela,Tira de la telaraña de araña para hacerle una cortina a la chica.,,,,,,,,,,,,,,,,
Level10Tips6,Text,,Turn on the ceiling fan with the red switch,قم بتحويل مروح السقف بالشبكة الحمراء.,Empurre a moeda para a porta principal,Enciende el abanico de techo con el interruptor rojo.,,,,,,,,,,,,,,,,
Level10Tips7,Text,,Light the oil lamp to drive away mosquitoes,ارقي مصباح الزيت لطرد الجراد.,Puxe a moeda para a lâmpada,Enciende la lámpara de aceite para ahuyentar los mosquitos.,,,,,,,,,,,,,,,,
Level10Tips8,Text,,Pull the curtain and see what happens,اسحب الكورطين وارى ماذا يحدث.,Puxe o dinheiro para o relógio,Tira las cortinas y ve lo que sucede.,,,,,,,,,,,,,,,,
Level10Tips9,Text,,"After driving away all the mosquitoes, give the girl the ointment tube from the drawer",بعد طرد كل الجراد، أعط الفتاة أنبوب الشم Poultice من العصن.,Puxe o dinheiro para o tapete rasgado,"Después de ahuyentar a todos los mosquitos, dale a la chica la tubería de ungüento del cajón.",,,,,,,,,,,,,,,,
Level11Tips0,Text,,Take the boy's shirt from afa,أخُذ قميص الصبي من afa.,Coloque o bebê na cama de criança.,Toma la camisa del chico de [afa],,,,,,,,,,,,,,,,
Level11Tips1,Text,,Take the cloud from the sky,خد السحابة من السماء,Abra a porta principal e de dinheiro ao remetente para obter a caixa de leite para o bebê,Toma la nube del cielo.,,,,,,,,,,,,,,,,
Level11Tips2,Text,,Take the white flower,اخد الزهرة البيضة,Puxe o dinheiro para o buraco do rato,Toma la flor blanca.,,,,,,,,,,,,,,,,
Level11Tips3,Text,,Take the newspaper on the chair,خذ الجريدة اللي على الكرسي,Pegue o jornal na cadeira,Toma el periódico de la silla.,,,,,,,,,,,,,,,,
Level11Tips4,Text,,Take the bird's feather,خذ ريشة الطائر,Pegue a pena do pássaro,Toma la pluma del pájaro.,,,,,,,,,,,,,,,,
Level11Tips5,Text,,"Use scissors to cut the cat's fur, then give it to the boy",استخدم المقص عشان تقص شعر القط، بعدين اديله للولد.,"Use tesoura para cortar o pelo do gato, depois dê ao menino","Usa las tijeras para cortar el pelaje del gato, luego dáselo al niño.",,,,,,,,,,,,,,,,
Level11Tips6,Text,,Take the hair of the boy sitting on the toilet,خد شعر الولد اللي قاعد على التواليت.,Pegue o cabelo do menino sentado no banheiro,Toma el cabello del niño sentado en el inodoro.,,,,,,,,,,,,,,,,
Level11Tips7,Text,,Take the sock of the boy sitting on the toilet,خد جورب الولد اللي قاعد على الحمام.,"Pegue o sapato do menino sentado no banheiro (obs: ""sock"" = meia, mas ""sapato"" é mais comum em contexto de banheiro; ajuste se for meia)",Toma el calcetín del niño sentado en el inodoro.,,,,,,,,,,,,,,,,
Level11Tips8,Text,,Take the bush behind the chair,خد الشجيرة اللي ورا الكرسي,"Pegue a vegetação atrás da cadeira (ou ""arbusto"" se for 小贝)",Toma el arbusto detrás de la silla.,,,,,,,,,,,,,,,,
Level12Tips0,Text,,Drag the money onto the floor,اسحب الفلوس على الأرض.,Arraste o dinheiro para o chão,Arrastra el dinero hasta el suelo.,,,,,,,,,,,,,,,,
Level12Tips1,Text,,Throw the husband out of the window with his mistress,اقذف الزوج من الشباك مع عشيقته.,Jogue o marido pela janela com sua amante,Echa al marido por la ventana con su amante.,,,,,,,,,,,,,,,,
Level12Tips10,Text,,Drag the money onto the table,اسحب الفلوس على الطاولة,Arraste o dinheiro para a mesa,Arrastra el dinero hasta la mesa.,,,,,,,,,,,,,,,,
Level12Tips11,Text,,Drag the money onto the food,اسحب الفلوس على الأكل,Arraste o dinheiro para a comida,Arrastra el dinero hasta la comida.,,,,,,,,,,,,,,,,
Level12Tips12,Text,,Drag the money onto the bed,اسحب الفلوس على السرير.,Arraste o dinheiro para a cama,Arrastra el dinero hasta la cama.,,,,,,,,,,,,,,,,
Level12Tips13,Text,,Drag the money onto the girl,اسحب الفلوس على البنت.,Arraste o dinheiro para a garota,Arrastra el dinero hasta la chica.,,,,,,,,,,,,,,,,
Level12Tips2,Text,,Drag the money onto the window,اسحب الفلوس على الشباك,Arraste o dinheiro para a janela,Arrastra el dinero hasta la ventana.,,,,,,,,,,,,,,,,
Level12Tips3,Text,,rag the money onto the front door,شد الفلوس على باب البيت.,Arraste o dinheiro para a porta principal,Arrastra el dinero hasta la puerta principal.,,,,,,,,,,,,,,,,
Level12Tips4,Text,,Drag the money onto the light bulb,اسحب الفلوس على المصباح.,Arraste o dinheiro para a lâmpada,Arrastra el dinero hasta la bombilla.,,,,,,,,,,,,,,,,
Level12Tips5,Text,,Drag the money to the clock,اسحب الفلوس على الساعة.,Arraste o dinheiro para o relógio,Arrastra el dinero hasta el reloj.,,,,,,,,,,,,,,,,
Level12Tips6,Text,,Drag the money to the torn mat,اسحب الفلوس على الحصيرة المقطوعة.,Arraste o dinheiro para o tapete rasgado,Arrastra el dinero hasta la alfombra desgarrada.,,,,,,,,,,,,,,,,
Level12Tips7,Text,,Put the baby in the crib.,حط البيبي في السرير.,Coloque o bebê na cama de criança.,Pon al bebé en la cuna.,,,,,,,,,,,,,,,,
Level12Tips8,Text,,Open the main door give money to the shipper to get the milk box for the baby,افتح الباب الرئيسي وادّي فلوس للشاحن عشان يجيب علبة الحليب للبيبي.,Abra a porta principal e dê dinheiro ao remetente para obter a caixa de leite para o bebê,Abre la puerta principal y dale dinero al repartidor para obtener la caja de leche para el bebé.,,,,,,,,,,,,,,,,
Level12Tips9,Text,,Drag the money into the mouse hole,اسحب الفلوس في حفرة الفأر.,Arraste o dinheiro para o buraco do rato,Arrastra el dinero al agujero del ratón.,,,,,,,,,,,,,,,,
Level13Tips0,Text,,Drag the hand to the capybara,اسحب اليد على الكابيبارا,Arraste a mão para o capivara,Arrastra la mano hasta la capybara.,,,,,,,,,,,,,,,,
Level13Tips1,Text,,Drag the plunger to the toilet with the hand,اسحب المحقنة للحمام بإيدك.,Arraste o plunger (suja) para o banheiro com a mão,Arrastra el plunger (aspersor) al inodoro con la mano.,,,,,,,,,,,,,,,,
Level13Tips2,Text,,Drag the slipper to the cockroach,اسحب الشبشب على الصرصور,Arraste a chinelo para a barata,Arrastra la chancla hasta la cucaracha.,,,,,,,,,,,,,,,,
Level13Tips3,Text,,Drag the bottle cap to the capybara's butt,اسحب غطاء الزجاجة ناحية مؤخرة الكابيبارا.,Arraste a tampa da garrafa para o rabo do capivara,Arrastra la tapa de la botella hasta el trasero de la capybara.,,,,,,,,,,,,,,,,
Level13Tips4,Text,,Drag the brush to the stain(0/5),اسحب الفرشاة على البقعة (0/5),Arraste o pincel para a mancha (0/5),Arrastra el cepillo hasta la mancha (0/5).,,,,,,,,,,,,,,,,
Level13Tips5,Text,,Drag the newspaper to the window,اسحب الجريدة للنافذة,Arraste o jornal para a janela,Arrastra el periódico hasta la ventana.,,,,,,,,,,,,,,,,
Level13Tips6,Text,,Drag the tape to the newspaper on the window,إسحب الشريط للجرنال اللي على الشباك,Arraste a fita para o jornal na janela,Arrastra la cinta adhesiva hasta el periódico en la ventana.,,,,,,,,,,,,,,,,
Level13Tips7,Text,,Drag the girl into the toilet,اسحب الفتاة إلى حيث صوت الصراخ في المرحاض.,Arraste a garota para o banheiro,Arrastra a la chica al inodoro.,,,,,,,,,,,,,,,,
Level13Tips8,Text,,Drag the toilet paper to the girl,اسحب ورق الحمام للبنت.,Arraste o papel higiênico para a garota,Arrastra el papel higiénico hasta la chica.,,,,,,,,,,,,,,,,
Level13Tips9,Text,,Drag the curtain to the girl,اسحب الستارة للبنت.,Arraste o guarda-roupa para a garota,Arrastra las cortinas hasta la chica.,,,,,,,,,,,,,,,,
Level1Tips0,Text,,Drag the money onto the wall,اسحب الفلوس على الحيطة,Arraste o dinheiro para a parede,Arrastra el dinero hasta la pared.,,,,,,,,,,,,,,,,
Level1Tips1,Text,,Drag the money onto the floor,اسحب الفلوس على الأرض,Arraste o dinheiro para o chão,Arrastra el dinero hasta el suelo.,,,,,,,,,,,,,,,,
Level1Tips10,Text,,Drag the money onto the dining table,اسحب الفلوس على طرابيزة الأكل.,Arraste o dinheiro para a mesa de jantar,Arrastra el dinero hasta la mesa del comedor.,,,,,,,,,,,,,,,,
Level1Tips11,Text,,Drag the money onto the window,اسحب الفلوس على الشباك,Arraste o dinheiro para a janela,Arrastra el dinero hasta la ventana.,,,,,,,,,,,,,,,,
Level1Tips12,Text,,Drag the money into the mouse hole,اسحب الفلوس في حفرة الفأر.,Arraste o dinheiro para o buraco do rato,Arrastra el dinero al agujero del ratón.,,,,,,,,,,,,,,,,
Level1Tips13,Text,,Open the front door,افتح الباب الأمامي,Abra a porta frontal,Abre la puerta principal.,,,,,,,,,,,,,,,,
Level1Tips14,Text,,Drag the money to the poor girl,اسحب الفلوس للبنت المسكينة,Arraste o dinheiro para a garota pobre,Arrastra el dinero hasta la niña pobre.,,,,,,,,,,,,,,,,
Level1Tips2,Text,,Drag the money onto the bed,اسحب الفلوس على السرير,Arraste o dinheiro para a cama,Arrastra el dinero hasta la cama.,,,,,,,,,,,,,,,,
Level1Tips3,Text,,Drag the money onto the quilt,اسحب الفلوس على البطانية.,Arraste o dinheiro para a cobertura,Arrastra el dinero hasta la colcha.,,,,,,,,,,,,,,,,
Level1Tips4,Text,,Drag the money onto the grandmother,اسحب الفلوس على الجدة,Arraste o dinheiro para a avó,Arrastra el dinero hasta la abuela.,,,,,,,,,,,,,,,,
Level1Tips5,Text,,Drag the money onto the grandfather,اسحب الفلوس على الجد,Arraste o dinheiro para o avô,Arrastra el dinero hasta el abuelo.,,,,,,,,,,,,,,,,
Level1Tips6,Text,,Drag the money onto the lamp shelf,اسحب الفلوس على رف المصباح,Arraste o dinheiro para a prateleira da lâmpada,Arrastra el dinero hasta el estante de la lámpara.,,,,,,,,,,,,,,,,
Level1Tips7,Text,,Drag the money onto the lamp item,اسحب الفلوس على عنصر المصباح,Arraste o dinheiro para o item da lâmpada,Arrastra el dinero hasta el artículo de la lámpara.,,,,,,,,,,,,,,,,
Level1Tips8,Text,,Drag the money into the fireplace,اسحب الفلوس في المدفأة,Arraste o dinheiro para a lareira,Arrastra el dinero hasta la chimenea.,,,,,,,,,,,,,,,,
Level1Tips9,Text,,Drag the money onto the food on the table,إسحب الفلوس على الأكل الموجود على الترابيزة.,Arraste o dinheiro para a comida na mesa,Arrastra el dinero hasta la comida de la mesa.,,,,,,,,,,,,,,,,
Level2Tips0,Text,,Open the window,افتح الشباك,Abra a janela,Abre la ventana.,,,,,,,,,,,,,,,,
Level2Tips1,Text,,Flip the pillow on the bed,اقلب المخدة على السرير,Vire o travesseiro da cama,Voltea la almohada de la cama.,,,,,,,,,,,,,,,,
Level2Tips2,Text,,Push the wardrobe to the left,ادفع دولاب الملابس على الشمال,Empurre o guarda-roupa para a esquerda,Empuja el armario hacia la izquierda.,,,,,,,,,,,,,,,,
Level2Tips3,Text,,"Flip the carpet on the floor, then open the hatch",اقلب السجادة على الأرض، وبعدين افتح الفتحة.,"Vire a moeda no chão, depois abra a hatche","Voltea la alfombra del suelo, luego abre la escotilla.",,,,,,,,,,,,,,,,
Level2Tips4,Text,,"Open the fridge door, move the food blocking the front(0/3)",افتح باب المبرد، انتقل الطعام الذي ي:block الباب (0/3),"Abra a porta da geladeira, mova a comida que bloqueia a frente (0/3)","Abre la puerta de la nevera, mueve la comida que bloquea el frente (0/3).",,,,,,,,,,,,,,,,
Level3Tips0,Text,,Drag the energy drink to the girl,اسحب مشروب الطاقة للبنت,Arraste a bebida energética para a garota,Arrastra la bebida energética hasta la chica.,,,,,,,,,,,,,,,,
Level3Tips1,Text,,Drag the chocolate bar to the girl,اسحب الشوكولاتة للبنت.,Arraste a barra de chocolate para a garota,Arrastra la barra de chocolate hasta la chica.,,,,,,,,,,,,,,,,
Level3Tips2,Text,,Drag the cockroach to the mother,اسحب الصرصور للمامّا,Arraste a barata para a mãe,Arrastra la cucaracha hasta la madre.,,,,,,,,,,,,,,,,
Level3Tips3,Text,,"Open the window, drag the empty water cup to the cow, then drag the glass of milk back to the girl",افتح الشباك، اسحب الكوب الفاضي للمياه للبقرة، بعدين اسحب كأس اللبن للبنت.,"Abra a janela, arraste o copo vazio para a vaca, depois arraste o copo de leite de volta para a garota","Abre la ventana, arrastra el vaso vacío hasta la vaca, luego arrastra el vaso de leche de vuelta a la chica.",,,,,,,,,,,,,,,,
Level3Tips4,Text,, Drag the glass of water to the girl,اسحب كوبا المية للبنت.,Arraste o copo de água para a garota,Arrastra el vaso de agua hasta la chica.,,,,,,,,,,,,,,,,
Level3Tips5,Text,,Drag the vegetables to the girl,اسحب الخضار للبنت.,Arraste os vegetais para a garota,Arrastra las verduras hasta la chica.,,,,,,,,,,,,,,,,
Level3Tips6,Text,,Drag the microphone to the mother,اسحب الميكروفون للام.,Arraste o microfone para a mãe,Arrastra el micrófono hasta la madre.,,,,,,,,,,,,,,,,
Level3Tips7,Text,,Drag the dumbbell to the girl,اسحب الدمبل للبنت.,Arraste a halterefa para a garota,Arrastra la mancuerna hasta la chica.,,,,,,,,,,,,,,,,
Level3Tips8,Text,,Drag the fan to the girl,اسحب المروحة للبنت,Arraste o ventilador para a garota,Arrastra el abanico hasta la chica.,,,,,,,,,,,,,,,,
Level3Tips9,Text,,Take the phone from the mother's bag,خد التليفون من شنطة الأم.,Pegue o telefone da bolsa da mãe,Toma el teléfono del bolso de la madre.,,,,,,,,,,,,,,,,
Level4Tips0,Text,,Drag the tablecloth to the girl,اسحب المفرش للبنت,Arraste o guardanapo para a garota,Arrastra el mantel hasta la chica.,,,,,,,,,,,,,,,,
Level4Tips1,Text,,Drag the curtain to the girl,اسحب الستارة للبنت.,Arraste a cortina para a garota,Arrastra las cortinas hasta la chica.,,,,,,,,,,,,,,,,
Level4Tips2,Text,,"Open the wardrobe, then take the blanket from the wardrobe and drag it to the girl",افتح الدولاب، بعدين خد الب blanket من الدولاب واسحبه للبنت.,"Abra o guarda-roupa, depois pegue a cobertura do guarda-roupa e arraste para a garota","Abre el armario, luego toma la manta del armario y arrástrala hasta la chica.",,,,,,,,,,,,,,,,
Level4Tips3,Text,,"Open the front door, take the blanket from the delivery person, and drag it to the girl",افتح الباب الأمامي، خذ البطانية من الشخص اللي جابها، وجرها للبنت.,"Abra a porta principal, pegue a cobertura do entregador e arraste para a garota","Abre la puerta principal, toma la manta del repartidor y arrástrala hasta la chica.",,,,,,,,,,,,,,,,
Level4Tips4,Text,,"Take the scissors from the table and drag them to the cat, then drag the cat's fur onto the girl",خذ المقص من على الطاولة واسحبه للقط، بعدين اسحب فراء القط على البنت.,"Pegue as tesouras da mesa e arraste para o gato, depois arraste o pelo do gato para a garota","Toma las tijeras de la mesa y arrástralas hasta el gato, luego arrastra el pelaje del gato hasta la chica.",,,,,,,,,,,,,,,,
Level4Tips5,Text,,Take the cat's blanket and drag it to the girl,خد بطانية القط واسحبها للبنت.,Pegue a cobertura do gato e arraste para a garota,Toma la manta del gato y arrástrala hasta la chica.,,,,,,,,,,,,,,,,
Level4Tips6,Text,,"Take the hammer and hit the floor, then drag the blanket to the girl",خذ المطرقة واضرب الأرض، بعدين اسحب البطانة للبنت.,"Pegue o martelo e bata no chão, depois arraste a cobertura para a garota","Toma el martillo y golpea el suelo, luego arrastra la manta hasta la chica.",,,,,,,,,,,,,,,,
Level4Tips7,Text,,Drag the leaves outside the window to the girl,إسحب الورق برة من الشباك للبنت.,Arraste as folhas fora da janela para a garota,Arrastra las hojas fuera de la ventana hasta la chica.,,,,,,,,,,,,,,,,
Level4Tips8,Text,,Drag the girl's wig onto the girl,اسحب باروكة البنت على البنت.,Arraste a peruca da garota para a garota,Arrastra la peluca de la chica hasta ella.,,,,,,,,,,,,,,,,
Level4Tips9,Text,,Drag the carpet to the girl,اسحب السجادة للبنت,Arraste o tapete para a garota,Arrastra la alfombra hasta la chica.,,,,,,,,,,,,,,,,
Level5Tips0,Text,,Take down the clock and remove the battery,إشيل الساعة وشيلي البطارية.,Tire o relógio da parede e remova a bateria,Baja el reloj y quita la batería.,,,,,,,,,,,,,,,,
Level5Tips1,Text,,Use tape to seal the vent,استخدم شريط لاقفال التهوية,Use fita adesiva para selar a abertura de ventilação,Usa cinta adhesiva para sellar la ventilación.,,,,,,,,,,,,,,,,
Level5Tips2,Text,, Use a hammer to break the mirror,استخدم مطرقة عشان تكسر المرآة.,Use um martelo para quebrar o espelho,Usa un martillo para romper el espejo.,,,,,,,,,,,,,,,,
Level5Tips3,Text,,Use a lock to secure the door,استخدم قفل لتأمين الباب,Use um cadeado para trancar a porta,Usa un candado para cerrar la puerta.,,,,,,,,,,,,,,,,
Level5Tips4,Text,,Unplug the computer,فصل الكمبيوتر عن الكهرباء.,"Desligue o computador (ou ""Desconecte o computador"")",Desconecta el ordenador.,,,,,,,,,,,,,,,,
