Key,Type,Desc,English,Arabic,Portuguese,Spanish
ADOK,Text,,No thanks ADS are OK,,,
ADisNotReady,Text,,AD is not ready,,,
Cheers,Text,,CHEERS!,,,
CoinLess,Text,,Short of coin,,,
Lang,Text,,EN,,,
LookADSuccess,Text,,Watch AD Success,,,
Messgae,Text,,Info,,,
NOAD,Text,,NO ADS,,,
NOADTips,Text,,"We're so close to getting the spell of creating money just right.

Until then we'll show some ads to play for development.

Of you can buy us a drink and we'll hide the asd.",,,
NoThanks,Text,,No Thanks,,,
Open,Text,,open,,,
Relife,Text,,Revive,,,
Restore,Text,,Restore,,,
Select,Text,,Equipped,,,
Set,Text,,SETTING,,,
Store,Text,,STORE,,,
Take,Text,,Take,,,
TakeOn,Text,,Equip,,,
